week,match,league,pick,actual_ht,actual_ft,ht_correct,ht_score,confidence,pin_prob_h,pin_prob_a,h_ht_lead,a_ht_lead,reason
2025-08-11/2025-08-17,Villarreal vs Oviedo,La_Liga,H,H,H,True,2-0,7.7,0.69,0.11,0.6,0.0,"ph=69%, home HT lead rate 60% at home"
2025-08-18/2025-08-24,Real Madrid vs Osasuna,La_Liga,H,D,H,False,0-0,10.1,0.78,0.08,0.5,0.1,"ph=78%, home HT lead rate 50% at home"
2025-08-25/2025-08-31,Inter vs Udinese,Serie_A,H,A,A,False,1-2,8.2,0.73,0.1,0.5,0.1,"ph=73%, home HT lead rate 50% at home"
2025-09-08/2025-09-14,Bayern Munich vs Hamburg,Bundesliga,H,H,H,True,4-0,11.6,0.9,0.03,0.7,0.0,"ph=90%, home HT lead rate 70% at home"
2025-09-15/2025-09-21,Barcelona vs Getafe,La_Liga,H,H,H,True,2-0,10.0,0.78,0.07,0.7,0.1,"ph=78%, home HT lead rate 70% at home"
2025-09-22/2025-09-28,Bayern Munich vs Werder Bremen,Bundesliga,H,H,H,True,2-0,9.9,0.89,0.04,0.7,0.5,"ph=89%, home HT lead rate 70% at home"
2025-09-29/2025-10-05,Inter vs Cremonese,Serie_A,H,H,H,True,2-0,10.2,0.79,0.08,0.6,0.0,"ph=79%, home HT lead rate 60% at home"
2025-10-13/2025-10-19,Barcelona vs Girona,La_Liga,H,D,H,False,1-1,9.3,0.83,0.06,0.6,0.2,"ph=83%, home HT lead rate 60% at home"
2025-10-20/2025-10-26,M'gladbach vs Bayern Munich,Bundesliga,A,D,A,False,0-0,10.1,0.08,0.78,0.1,0.5,"pa=78%, away HT lead rate 50% away"
2025-10-27/2025-11-02,Barcelona vs Elche,La_Liga,H,H,H,True,2-1,9.8,0.76,0.07,0.5,0.0,"ph=76%, home HT lead rate 50% at home"
2025-11-03/2025-11-09,Union Berlin vs Bayern Munich,Bundesliga,A,D,D,False,1-1,8.9,0.08,0.79,0.2,0.5,"pa=79%, away HT lead rate 50% away"
2025-11-17/2025-11-23,Bayern Munich vs Freiburg,Bundesliga,H,D,H,False,2-2,10.4,0.81,0.06,0.8,0.1,"ph=81%, home HT lead rate 80% at home"
2025-11-24/2025-11-30,Barcelona vs Alaves,La_Liga,H,H,H,True,2-1,10.4,0.8,0.07,0.6,0.1,"ph=80%, home HT lead rate 60% at home"
2025-12-01/2025-12-07,Man City vs Sunderland,EPL,H,H,H,True,2-0,9.9,0.77,0.09,0.6,0.14,"ph=77%, home HT lead rate 60% at home"
2025-12-08/2025-12-14,Arsenal vs Wolves,EPL,H,D,H,False,0-0,10.9,0.84,0.05,0.8,0.0,"ph=84%, home HT lead rate 80% at home"
2025-12-15/2025-12-21,Heidenheim vs Bayern Munich,Bundesliga,A,A,A,True,0-2,11.0,0.06,0.85,0.1,0.6,"pa=85%, away HT lead rate 60% away"
2025-12-22/2025-12-28,Liverpool vs Wolves,EPL,H,H,H,True,2-0,10.1,0.78,0.08,0.5,0.0,"ph=78%, home HT lead rate 50% at home"
2025-12-29/2026-01-04,Man United vs Wolves,EPL,H,D,D,False,1-1,7.9,0.7,0.12,0.6,0.0,"ph=70%, home HT lead rate 60% at home"
2026-01-05/2026-01-11,Bayern Munich vs Wolfsburg,Bundesliga,H,H,H,True,2-1,9.8,0.87,0.05,0.7,0.3,"ph=87%, home HT lead rate 70% at home"
2026-01-12/2026-01-18,Inter vs Lecce,Serie_A,H,D,H,False,0-0,9.5,0.85,0.05,0.6,0.4,"ph=85%, home HT lead rate 60% at home"
