combo,yc_thresh,btts_home,btts_away,weeks,win_rate,avg_odds,ev
HA,3.5,1.5,1.3,197,0.772,1.284,0.991
HA,3.5,1.5,1.5,197,0.772,1.284,0.991
HA,3.5,1.5,1.8,197,0.772,1.284,0.991
HA,3.5,1.8,1.3,197,0.772,1.284,0.991
HA,3.5,1.8,1.5,197,0.772,1.284,0.991
HA,3.5,1.8,1.8,197,0.772,1.284,0.991
HA,3.5,2.0,1.3,197,0.772,1.284,0.991
HA,3.5,2.0,1.5,197,0.772,1.284,0.991
HA,3.5,2.0,1.8,197,0.772,1.284,0.991
HA,4.0,1.5,1.3,197,0.772,1.284,0.991
HA,4.0,1.5,1.5,197,0.772,1.284,0.991
HA,4.0,1.5,1.8,197,0.772,1.284,0.991
HA,4.0,1.8,1.3,197,0.772,1.284,0.991
HA,4.0,1.8,1.5,197,0.772,1.284,0.991
HA,4.0,1.8,1.8,197,0.772,1.284,0.991
HA,4.0,2.0,1.3,197,0.772,1.284,0.991
HA,4.0,2.0,1.5,197,0.772,1.284,0.991
HA,4.0,2.0,1.8,197,0.772,1.284,0.991
HA,4.5,1.5,1.3,197,0.772,1.284,0.991
HA,4.5,1.5,1.5,197,0.772,1.284,0.991
HA,4.5,1.5,1.8,197,0.772,1.284,0.991
HA,4.5,1.8,1.3,197,0.772,1.284,0.991
HA,4.5,1.8,1.5,197,0.772,1.284,0.991
HA,4.5,1.8,1.8,197,0.772,1.284,0.991
HA,4.5,2.0,1.3,197,0.772,1.284,0.991
HA,4.5,2.0,1.5,197,0.772,1.284,0.991
HA,4.5,2.0,1.8,197,0.772,1.284,0.991
HA,5.0,1.5,1.3,197,0.772,1.284,0.991
HA,5.0,1.5,1.5,197,0.772,1.284,0.991
HA,5.0,1.5,1.8,197,0.772,1.284,0.991
HA,5.0,1.8,1.3,197,0.772,1.284,0.991
HA,5.0,1.8,1.5,197,0.772,1.284,0.991
HA,5.0,1.8,1.8,197,0.772,1.284,0.991
HA,5.0,2.0,1.3,197,0.772,1.284,0.991
HA,5.0,2.0,1.5,197,0.772,1.284,0.991
