week,date,match,actual,odds,correct,confidence,pin_prob_d,home_gf5,away_gf5,form_gap,home_dr10,away_dr10
2020-09-21/2020-09-27,2020-09-27,Valladolid vs Celta,D,2.94,True,21.7,0.33,0.5,1.0,-3,0.5,0.5
2020-09-28/2020-10-04,2020-10-03,Sociedad vs Getafe,H,3.13,False,15.8,0.31,1.0,1.33,-2,0.5,0.33
2020-09-28/2020-10-04,2020-10-03,Valladolid vs Eibar,A,3.15,False,14.1,0.31,0.5,0.5,1,0.5,0.25
2020-10-12/2020-10-18,2020-10-18,Huesca vs Valladolid,D,3.12,True,22.8,0.31,0.4,0.6,2,0.8,0.4
2020-10-12/2020-10-18,2020-10-17,Celta vs Ath Madrid,A,3.31,False,17.3,0.3,0.6,2.0,0,0.4,0.67
2020-10-19/2020-10-25,2020-10-24,Union Berlin vs Freiburg,D,3.47,True,15.5,0.28,1.75,1.25,0,0.5,0.5
2020-10-19/2020-10-25,2020-10-25,Getafe vs Granada,A,3.09,False,7.6,0.32,1.0,1.4,0,0.2,0.2
2020-10-26/2020-11-01,2020-10-30,Eibar vs Cadiz,A,2.86,False,12.9,0.34,0.8,0.8,-1,0.29,0.29
2020-11-23/2020-11-29,2020-11-28,Elche vs Cadiz,D,2.95,True,11.2,0.32,1.4,0.6,1,0.38,0.2
2020-11-23/2020-11-29,2020-11-27,Valladolid vs Levante,D,3.37,True,10.8,0.29,1.4,0.8,3,0.3,0.44
2020-11-30/2020-12-06,2020-12-05,Levante vs Getafe,H,3.18,False,16.8,0.31,1.0,0.8,2,0.5,0.4
2020-11-30/2020-12-06,2020-12-06,Granada vs Huesca,D,3.09,True,15.0,0.31,0.8,0.8,2,0.2,0.6
2020-12-07/2020-12-13,2020-12-13,Elche vs Granada,A,3.15,False,15.0,0.31,0.8,1.2,2,0.5,0.3
2020-12-07/2020-12-13,2020-12-07,Eibar vs Valencia,D,3.17,True,10.0,0.3,0.8,1.8,3,0.3,0.3
2020-12-14/2020-12-20,2020-12-19,Levante vs Sociedad,H,3.4,False,13.9,0.29,1.2,0.8,0,0.5,0.3
2020-12-14/2020-12-20,2020-12-20,Cadiz vs Getafe,A,2.95,False,13.1,0.33,0.6,0.4,2,0.3,0.3
2020-12-14/2020-12-20,2020-12-18,Ath Bilbao vs Huesca,H,3.38,False,11.5,0.29,1.6,1.2,-1,0.2,0.6
2020-12-14/2020-12-20,2020-12-16,Parma vs Cagliari,D,3.44,True,11.0,0.28,0.8,1.2,1,0.5,0.2
2020-12-21/2020-12-27,2020-12-23,Alaves vs Eibar,H,3.01,False,19.3,0.32,0.8,0.8,-1,0.4,0.5
2020-12-21/2020-12-27,2020-12-22,Elche vs Osasuna,D,3.05,True,14.8,0.32,0.6,0.8,2,0.5,0.2
2020-12-21/2020-12-27,2020-12-22,Huesca vs Levante,D,3.38,True,14.5,0.29,1.0,1.4,-3,0.5,0.5
2020-12-21/2020-12-27,2020-12-22,Crotone vs Parma,H,3.4,False,14.2,0.29,1.0,0.8,-2,0.3,0.6
2020-12-21/2020-12-27,2020-12-22,Villarreal vs Ath Bilbao,D,3.45,True,12.5,0.28,1.2,1.2,2,0.6,0.2
2020-12-28/2021-01-03,2021-01-03,Parma vs Torino,A,3.24,False,18.3,0.3,0.6,1.2,1,0.6,0.4
2020-12-28/2021-01-03,2021-01-02,Werder Bremen vs Union Berlin,A,3.4,False,14.4,0.29,1.2,1.8,-3,0.5,0.5
2020-12-28/2021-01-03,2021-01-02,FC Koln vs Augsburg,A,3.36,False,12.8,0.29,1.0,1.0,3,0.5,0.3
2020-12-28/2021-01-03,2021-01-02,Getafe vs Valladolid,A,3.23,False,12.8,0.3,0.6,0.8,-1,0.4,0.3
2020-12-28/2021-01-03,2020-12-29,Cadiz vs Valladolid,D,2.9,True,11.1,0.34,0.6,1.0,-1,0.2,0.3
2020-12-28/2021-01-03,2020-12-31,Ath Bilbao vs Sociedad,A,3.22,False,11.0,0.3,1.2,0.6,3,0.3,0.3
2021-01-04/2021-01-10,2021-01-10,Cadiz vs Alaves,H,2.95,False,17.5,0.33,0.2,0.8,-2,0.3,0.5
2021-01-04/2021-01-10,2021-01-09,Genoa vs Bologna,H,3.35,False,12.9,0.29,1.2,1.4,0,0.3,0.5
2021-01-04/2021-01-10,2021-01-06,Bologna vs Udinese,D,3.31,True,11.4,0.3,1.2,1.0,-1,0.4,0.3
2021-01-04/2021-01-10,2021-01-08,Celta vs Villarreal,A,3.33,False,10.3,0.29,1.8,1.4,2,0.2,0.5
2021-01-04/2021-01-10,2021-01-06,Torino vs Verona,D,3.4,True,10.1,0.29,1.6,1.2,-2,0.4,0.3
2021-01-04/2021-01-10,2021-01-09,Union Berlin vs Wolfsburg,D,3.32,True,8.8,0.29,1.6,1.2,1,0.4,0.2
2021-01-04/2021-01-10,2021-01-06,Milan vs Juventus,A,3.42,False,8.6,0.29,2.2,2.4,1,0.3,0.3
2021-01-11/2021-01-17,2021-01-11,Elche vs Getafe,A,2.86,False,22.6,0.34,0.8,0.6,-2,0.6,0.4
2021-01-11/2021-01-17,2021-01-16,Torino vs Spezia,D,3.47,True,11.9,0.28,1.2,1.2,0,0.4,0.3
2021-01-11/2021-01-17,2021-01-16,FC Koln vs Hertha,D,3.31,True,11.4,0.3,0.2,1.0,-1,0.3,0.4
2021-01-11/2021-01-17,2021-01-16,Werder Bremen vs Augsburg,H,3.37,False,11.2,0.29,0.6,1.0,-3,0.4,0.3
2021-01-11/2021-01-17,2021-01-11,Huesca vs Betis,A,3.39,False,9.5,0.29,0.6,1.2,-1,0.4,0.2
2021-01-11/2021-01-17,2021-01-15,Lazio vs Roma,H,3.48,False,6.2,0.28,1.8,2.0,0,0.2,0.2
2021-01-18/2021-01-24,2021-01-22,Benevento vs Torino,D,3.3,True,14.4,0.3,1.2,1.0,0,0.3,0.5
2021-01-18/2021-01-24,2021-01-19,Valladolid vs Elche,D,3.48,True,13.9,0.28,0.4,1.0,3,0.3,0.6
2021-01-18/2021-01-24,2021-01-24,Osasuna vs Granada,H,3.08,False,13.4,0.32,0.6,1.2,-3,0.5,0.2
2021-01-18/2021-01-24,2021-01-20,Schalke 04 vs FC Koln,A,3.35,False,9.6,0.29,1.0,0.0,1,0.2,0.4
2021-01-25/2021-01-31,2021-01-30,Villarreal vs Sociedad,D,3.22,True,18.4,0.3,1.6,1.2,3,0.6,0.5
2021-01-25/2021-01-31,2021-01-29,Torino vs Fiorentina,D,3.3,True,14.7,0.3,1.2,0.8,-1,0.5,0.4
2021-01-25/2021-01-31,2021-01-25,Ath Bilbao vs Getafe,H,3.09,False,12.6,0.32,1.2,1.0,0,0.3,0.3
2021-01-25/2021-01-31,2021-01-31,Granada vs Celta,D,3.34,True,7.1,0.29,1.0,0.8,0,0.2,0.2
2021-02-01/2021-02-07,2021-02-07,Osasuna vs Eibar,H,3.02,False,19.2,0.32,0.8,1.0,1,0.5,0.4
2021-02-01/2021-02-07,2021-02-07,Parma vs Bologna,A,3.36,False,12.8,0.29,0.2,0.8,-3,0.3,0.5
2021-02-01/2021-02-07,2021-02-07,Udinese vs Verona,H,3.08,False,12.2,0.32,0.8,1.4,-2,0.5,0.2
2021-02-01/2021-02-07,2021-02-01,Betis vs Osasuna,H,3.49,False,11.2,0.28,2.0,1.0,2,0.3,0.5
2021-02-01/2021-02-07,2021-02-07,Ath Bilbao vs Valencia,D,3.4,True,10.1,0.29,1.8,1.0,-2,0.2,0.5
2021-02-01/2021-02-07,2021-02-06,Mainz vs Union Berlin,H,3.45,False,9.4,0.28,0.8,1.0,-1,0.2,0.4
