week,date,match,actual,odds,correct,confidence,pin_prob_d,home_gf5,away_gf5,form_gap,home_dr10,away_dr10
2020-09-21/2020-09-27,2020-09-27,Valladolid vs Celta,D,2.94,True,21.7,0.33,0.5,1.0,-3,0.5,0.5
2020-09-28/2020-10-04,2020-10-03,Sociedad vs Getafe,H,3.13,False,15.8,0.31,1.0,1.33,-2,0.5,0.33
2020-10-12/2020-10-18,2020-10-18,Huesca vs Valladolid,D,3.12,True,22.8,0.31,0.4,0.6,2,0.8,0.4
2020-10-19/2020-10-25,2020-10-24,Union Berlin vs Freiburg,D,3.47,True,15.5,0.28,1.75,1.25,0,0.5,0.5
2020-10-26/2020-11-01,2020-10-30,Eibar vs Cadiz,A,2.86,False,12.9,0.34,0.8,0.8,-1,0.29,0.29
2020-11-23/2020-11-29,2020-11-28,Elche vs Cadiz,D,2.95,True,11.2,0.32,1.4,0.6,1,0.38,0.2
2020-11-30/2020-12-06,2020-12-05,Levante vs Getafe,H,3.18,False,16.8,0.31,1.0,0.8,2,0.5,0.4
2020-12-07/2020-12-13,2020-12-13,Elche vs Granada,A,3.15,False,15.0,0.31,0.8,1.2,2,0.5,0.3
2020-12-14/2020-12-20,2020-12-19,Levante vs Sociedad,H,3.4,False,13.9,0.29,1.2,0.8,0,0.5,0.3
2020-12-21/2020-12-27,2020-12-23,Alaves vs Eibar,H,3.01,False,19.3,0.32,0.8,0.8,-1,0.4,0.5
2020-12-28/2021-01-03,2021-01-03,Parma vs Torino,A,3.24,False,18.3,0.3,0.6,1.2,1,0.6,0.4
2021-01-04/2021-01-10,2021-01-10,Cadiz vs Alaves,H,2.95,False,17.5,0.33,0.2,0.8,-2,0.3,0.5
2021-01-11/2021-01-17,2021-01-11,Elche vs Getafe,A,2.86,False,22.6,0.34,0.8,0.6,-2,0.6,0.4
2021-01-18/2021-01-24,2021-01-22,Benevento vs Torino,D,3.3,True,14.4,0.3,1.2,1.0,0,0.3,0.5
2021-01-25/2021-01-31,2021-01-30,Villarreal vs Sociedad,D,3.22,True,18.4,0.3,1.6,1.2,3,0.6,0.5
2021-02-01/2021-02-07,2021-02-07,Osasuna vs Eibar,H,3.02,False,19.2,0.32,0.8,1.0,1,0.5,0.4
2021-02-08/2021-02-14,2021-02-14,Levante vs Osasuna,A,3.2,False,15.1,0.31,2.0,1.2,2,0.4,0.5
2021-02-15/2021-02-21,2021-02-20,Elche vs Eibar,H,3.31,False,12.5,0.3,1.0,0.8,0,0.4,0.3
2021-02-22/2021-02-28,2021-02-28,Granada vs Elche,H,3.13,False,11.3,0.31,1.2,0.8,-2,0.3,0.3
2021-03-01/2021-03-07,2021-03-06,Cadiz vs Eibar,H,3.28,False,13.1,0.3,0.8,0.6,-1,0.4,0.4
2021-03-08/2021-03-14,2021-03-12,Levante vs Valencia,H,3.41,False,12.6,0.29,0.8,1.0,-2,0.5,0.3
2021-03-15/2021-03-21,2021-03-19,Parma vs Genoa,A,3.12,False,15.5,0.31,2.0,0.8,3,0.4,0.5
2021-03-29/2021-04-04,2021-04-03,Osasuna vs Getafe,D,2.81,True,15.2,0.35,0.2,1.0,0,0.3,0.3
2021-04-05/2021-04-11,2021-04-07,Sociedad vs Ath Bilbao,D,3.22,True,13.4,0.3,1.4,1.0,1,0.3,0.5
2021-04-12/2021-04-18,2021-04-17,Sampdoria vs Verona,H,3.36,False,9.6,0.29,1.0,0.8,2,0.4,0.2
2021-04-19/2021-04-25,2021-04-21,Betis vs Ath Bilbao,D,3.41,True,15.8,0.29,1.2,0.6,2,0.3,0.7
2021-05-03/2021-05-09,2021-05-09,Valencia vs Valladolid,H,3.39,False,14.4,0.29,1.6,1.2,-1,0.3,0.7
2021-05-10/2021-05-16,2021-05-15,Spezia vs Torino,H,3.03,False,12.7,0.32,1.0,0.6,-2,0.3,0.3
2021-05-17/2021-05-23,2021-05-17,Verona vs Bologna,D,3.26,True,9.1,0.3,0.8,1.0,-1,0.2,0.3
2021-08-09/2021-08-15,2021-08-13,Valencia vs Getafe,H,3.03,False,13.6,0.32,1.8,0.4,3,0.4,0.3
2021-08-16/2021-08-22,2021-08-16,Elche vs Ath Bilbao,D,3.36,True,11.2,0.29,1.0,0.6,2,0.2,0.5
2021-08-23/2021-08-29,2021-08-27,Mallorca vs Espanol,H,2.99,False,32.4,0.33,1.0,0.0,2,0.5,1.0
2021-09-13/2021-09-19,2021-09-18,Alaves vs Osasuna,A,3.13,False,9.5,0.31,1.0,0.8,-2,0.2,0.3
2021-09-20/2021-09-26,2021-09-23,Osasuna vs Betis,A,3.38,False,12.7,0.29,1.2,1.2,2,0.3,0.5
2021-09-27/2021-10-03,2021-10-02,Cadiz vs Valencia,D,3.08,True,12.2,0.32,1.0,2.0,-3,0.4,0.3
2021-10-11/2021-10-17,2021-10-16,Levante vs Getafe,D,2.92,True,15.5,0.34,0.4,0.4,1,0.5,0.2
2021-10-18/2021-10-24,2021-10-23,Ath Bilbao vs Villarreal,H,3.24,False,16.4,0.3,1.0,1.4,0,0.4,0.5
2021-10-25/2021-10-31,2021-10-28,Granada vs Getafe,D,2.88,True,15.7,0.34,1.0,0.4,3,0.5,0.2
2021-11-01/2021-11-07,2021-11-01,Levante vs Granada,A,3.49,False,15.4,0.28,1.0,1.0,-3,0.5,0.5
2021-11-15/2021-11-21,2021-11-20,Burnley vs Crystal Palace,D,3.29,True,16.4,0.3,1.2,1.8,-3,0.5,0.6
2021-11-22/2021-11-28,2021-11-27,Mallorca vs Getafe,D,2.98,True,15.8,0.33,1.4,1.4,-3,0.5,0.3
2021-11-29/2021-12-05,2021-12-04,Southampton vs Brighton,D,3.25,True,18.2,0.3,1.0,0.8,3,0.3,0.7
2021-12-06/2021-12-12,2021-12-10,Mallorca vs Celta,D,3.0,True,17.2,0.33,1.2,1.4,0,0.5,0.3
2021-12-13/2021-12-19,2021-12-19,Getafe vs Osasuna,H,2.95,False,24.1,0.33,1.0,0.6,3,0.6,0.5
2021-12-20/2021-12-26,2021-12-21,Sevilla vs Barcelona,D,3.29,True,8.2,0.3,1.4,1.8,0,0.2,0.3
2021-12-27/2022-01-02,2022-01-02,Everton vs Brighton,A,3.08,False,15.2,0.31,1.0,1.0,-2,0.2,0.6
2022-01-03/2022-01-09,2022-01-03,Osasuna vs Ath Bilbao,A,2.96,False,21.6,0.33,0.6,1.2,-2,0.5,0.5
2022-01-10/2022-01-16,2022-01-14,Brighton vs Crystal Palace,D,3.29,True,11.9,0.3,1.4,2.0,1,0.6,0.2
2022-01-17/2022-01-23,2022-01-23,Vallecano vs Ath Bilbao,A,2.8,False,18.3,0.35,0.8,1.4,0,0.3,0.5
2022-01-31/2022-02-06,2022-02-05,Osasuna vs Sevilla,D,3.04,True,13.5,0.32,1.0,1.2,-3,0.3,0.4
2022-02-07/2022-02-13,2022-02-13,Alaves vs Valencia,H,3.33,False,12.4,0.29,0.4,1.0,0,0.3,0.4
2022-02-14/2022-02-20,2022-02-19,Cadiz vs Getafe,D,2.95,True,15.9,0.33,1.0,2.0,-2,0.4,0.4
2022-02-21/2022-02-27,2022-02-26,Crystal Palace vs Burnley,D,3.44,True,12.5,0.28,1.2,1.0,-3,0.4,0.4
2022-02-28/2022-03-06,2022-03-04,Bielefeld vs Augsburg,A,3.22,False,11.7,0.3,0.8,1.4,3,0.3,0.4
2022-03-07/2022-03-13,2022-03-13,Udinese vs Roma,D,3.42,True,12.6,0.29,1.2,1.2,-1,0.4,0.4
2022-03-14/2022-03-20,2022-03-18,Genoa vs Torino,H,3.24,False,21.9,0.3,0.4,0.8,2,0.8,0.4
