week,date,match,actual,odds,correct,confidence,pin_prob_d,home_gf5,away_gf5,form_gap,home_dr10,away_dr10
2021-08-23/2021-08-29,2021-08-28,Newcastle vs Southampton,D,3.52,True,14.4,0.28,1.0,1.0,-1,0.0,0.5
2021-09-06/2021-09-12,2021-09-11,Brentford vs Brighton,A,3.19,False,17.8,0.31,1.0,1.33,-1,0.67,0.0
2021-09-13/2021-09-19,2021-09-17,Newcastle vs Leeds,D,3.69,True,17.0,0.27,1.25,1.0,-1,0.25,0.5
2021-09-20/2021-09-26,2021-09-26,Southampton vs Wolves,A,3.27,False,19.4,0.3,0.8,0.4,1,0.8,0.0
2021-09-27/2021-10-03,2021-10-03,Crystal Palace vs Leicester,D,3.44,True,11.9,0.28,1.2,1.2,2,0.5,0.17
2021-10-11/2021-10-17,2021-10-16,Southampton vs Leeds,H,3.58,False,17.0,0.27,0.6,0.8,-2,0.57,0.43
2021-10-18/2021-10-24,2021-10-23,Southampton vs Burnley,D,3.63,True,13.8,0.27,0.4,0.6,3,0.5,0.38
2021-10-25/2021-10-31,2021-10-30,Burnley vs Brentford,H,3.31,False,13.3,0.3,0.8,1.6,-4,0.44,0.33
2021-11-01/2021-11-07,2021-11-05,Southampton vs Aston Villa,H,3.71,False,11.0,0.26,1.0,1.2,4,0.5,0.1
2021-11-15/2021-11-21,2021-11-20,Newcastle vs Brentford,D,3.42,True,17.1,0.29,1.0,1.0,-1,0.5,0.3
2021-11-22/2021-11-28,2021-11-27,Brighton vs Leeds,D,3.44,True,17.7,0.28,0.8,1.0,-2,0.5,0.4
2021-11-29/2021-12-05,2021-12-04,Southampton vs Brighton,D,3.25,True,19.2,0.3,1.0,0.8,3,0.3,0.7
2021-12-06/2021-12-12,2021-12-12,Crystal Palace vs Everton,H,3.22,False,19.6,0.3,1.2,0.6,0,0.5,0.2
2021-12-13/2021-12-19,2021-12-15,Brighton vs Wolves,A,3.05,False,21.7,0.32,0.6,0.2,-1,0.8,0.3
